Date,DailyDeaths
1,3689
2,3417
3,3449
4,3780
5,3980
6,3915
7,4187
8,4077
9,3769
10,3876
11,4205
12,4120
13,4000
14,3890
15,4077
16,4106
17,4329
18,4529
19,3874
20,4209
21,4194
22,3741
23,4454
24,3511
25,4157
26,3847
27,3660
28,3617
29,3460
30,3128
31,2795
